,ma_GeV,cl_inf,cl_sup
178,0.0004387345487499,165.01395927751645,569865.087328549
179,0.0004481012411151,162.43558676571737,543589.8582486307
180,0.0004576679061656,145.4616310551085,518395.2593191639
181,0.000467438813186,134.3880915967815,494236.2060926251
182,0.0004774183226072,128.0888038458906,471069.45045160205
183,0.0004876108879525,118.26865150296011,448853.501749046
184,0.0004980210578249,109.16646916102806,427548.5508325352
185,0.0005086534779371,103.94950348048943,407116.3967691184
186,0.0005195128931846,95.88201799339159,387520.37608536665
187,0.0005306041497635,91.23165512585686,368725.29432681744
188,0.0005419321973328,86.77110322780418,350697.35973327555
189,0.0005535020912234,77.46244116346989,333404.11880652135
190,0.0005653189946945,73.60801782022392,316814.39352856006
191,0.000577388181237,67.74521648961058,300898.2199611759
192,0.0005897150369276,62.31559558110152,285626.7879132233
193,0.0006023050628323,59.11842320966734,270972.38131818164
194,0.0006151638774609,54.31437410829249,256908.3188911411
195,0.0006282972192749,49.86684062388321,243408.8945415188
196,0.0006417109492481,47.21183003270974,230449.31689616776
197,0.0006554110534822,43.279471733051416,218005.647113113
198,0.0006694036458782,40.90692214068412,206054.73393232687
199,0.0006836949708649,38.62774337214912,194574.14458073617
200,0.0006982914061855,34.21586118106012,183542.08968412213
201,0.0007131994657437,33.26915568274912,172937.33967111423
202,0.0007284258025108,31.30725518658261,162739.12918023593
203,0.0007439772114947,26.770328122255872,152927.04453147436
204,0.0007598606327722,25.116750534217083,143480.8871184084
205,0.000776083154586,24.275426043193267,134380.502141666
206,0.0007926520165084,20.646947187417325,125605.55660319318
207,0.0008095746126715,19.869904217436694,117135.24139344005
208,0.0008268584950673,17.354195412455677,108947.85673503803
209,0.0008445113769178,15.593114491002313,101020.2124470162
210,0.0008625411361174,14.4055751921766,93326.72232829887
211,0.000880955818748,12.839343466254592,85837.96812649039
212,0.0008997636426704,11.744491038552653,78518.28639671228
213,0.0009189730011909,10.337656880314544,71321.41115981624
214,0.0009385924668076,9.302813371753562,64181.8339602005
215,0.0009586307950357,7.757446897482088,56995.29816192789
216,0.0009790969283149,7.1842047325647584,49565.1602214871
217,0.001,5.4592717039471665,41391.973194857565
218,0.0010213493384368,3.774990858862737,28621.825202050968
219,0.0010431544711253,620.2558622569821,4853035.861940016
220,0.0010654251289712,703.1219066112362,5677203.400809635
221,0.0010881712506287,763.5445523084176,6165072.782224911
222,0.0011114029869356,779.735140632539,6496989.045480243
223,0.0011351307054434,808.4215709270364,6736013.059744999
224,0.0011593649950439,829.6123066681699,6912580.6796987755
225,0.0011841166706949,793.8404843338461,7044021.534798227
226,0.0012093967782463,804.8001535588656,7141270.47530809
227,0.0012352165993694,787.5731120490071,7211730.927775265
228,0.0012615876565922,768.3647479324799,7260679.516051636
229,0.0012885217184405,796.3420003510614,7292026.791108645
230,0.0013160308046906,749.501874519492,7308761.019162603
231,0.0013441271917332,726.7357909066959,7313222.549063138
