m_a	UL_BF	UL_gagg
2.484	7.27005e-07	0.0045301
2.488	7.47454e-07	0.00463372
2.492	7.48933e-07	0.00467935
2.496	7.92393e-07	0.00485612
2.5	8.70717e-07	0.0051362
2.504	9.96558e-07	0.00554459
2.508	1.13147e-06	0.00596189
2.512	1.31185e-06	0.00647856
2.516	1.42551e-06	0.00681596
2.52	1.47267e-06	0.00699248
2.524	1.41778e-06	0.00692548
2.528	1.33089e-06	0.00677356
2.532	1.18303e-06	0.00644727
2.536	1.05337e-06	0.00614236
2.54	9.07314e-07	0.00575602
2.544	7.31215e-07	0.00521794
2.548	5.6315e-07	0.00462441
2.552	4.62667e-07	0.00423331
2.556	4.2267e-07	0.00408681
2.56	3.79537e-07	0.00391187
2.564	3.91467e-07	0.00401343
2.568	4.40234e-07	0.00429988
2.572	5.43508e-07	0.00482728
2.576	6.45783e-07	0.00531699
2.58	7.20374e-07	0.00567496
2.584	8.5324e-07	0.00624195
2.588	9.64231e-07	0.00670682
2.592	1.04857e-06	0.00706978
2.596	1.10457e-06	0.00733544
2.6	1.14299e-06	0.00754425
2.604	1.18839e-06	0.00777822
2.608	1.1769e-06	0.00782747
2.612	1.11542e-06	0.00770662
2.616	1.02548e-06	0.0074739
2.62	8.92357e-07	0.00705241
2.624	7.73855e-07	0.00664398
2.628	6.98182e-07	0.00638499
2.632	6.4288e-07	0.00619963
2.636	6.45612e-07	0.00628723
2.64	6.45573e-07	0.00636311
2.644	6.2666e-07	0.00634579
2.648	5.88964e-07	0.00622785
2.652	6.01033e-07	0.0063697
2.656	6.22426e-07	0.00656361
2.66	6.68681e-07	0.00688955
2.664	6.9504e-07	0.00711417
2.668	6.84994e-07	0.00715413
2.672	6.40173e-07	0.00700669
2.676	5.65407e-07	0.00667196
2.68	5.26424e-07	0.00652391
2.684	5.18609e-07	0.00656279
2.688	5.58641e-07	0.00690438
2.692	6.53159e-07	0.00756868
2.696	8.41372e-07	0.00871004
2.7	1.09879e-06	0.010094
2.704	1.30559e-06	0.0111598
2.708	1.48698e-06	0.0120815
2.712	1.48973e-06	0.012269
2.716	1.35095e-06	0.0118558
2.72	1.17671e-06	0.0112298
2.724	9.8232e-07	0.0104151
2.728	8.21124e-07	0.00966761
2.732	6.73632e-07	0.00889159
2.736	5.60895e-07	0.00824024
2.74	4.88107e-07	0.00780852
2.744	4.31634e-07	0.00746041
2.748	3.75646e-07	0.0070725
2.752	3.08713e-07	0.00651665
2.756	2.62519e-07	0.00610913
2.76	2.28497e-07	0.00579537
2.764	2.34532e-07	0.00597139
2.768	2.81177e-07	0.00665108
2.772	3.44007e-07	0.00748532
2.776	3.92638e-07	0.00813854
2.78	4.17503e-07	0.00854291
2.784	4.519e-07	0.00904953
2.788	4.80457e-07	0.00950316
2.792	5.67259e-07	0.0105191
2.796	7.48811e-07	0.0123149
2.8	9.25721e-07	0.0139559
2.804	1.10342e-06	0.0155338
2.808	1.21576e-06	0.0166282
2.812	1.20976e-06	0.0169203
2.816	1.13139e-06	0.0166968
2.82	9.31268e-07	0.0154619
2.824	7.3855e-07	0.0140589
2.828	5.96476e-07	0.0129043
2.832	5.7179e-07	0.0129085
2.836	5.48258e-07	0.0129187
2.84	4.99368e-07	0.0126054
